Participant,VideoID,Window_Start,Vel_Mean,Acc_Max,Gaze_Z_Mean,Jerk_Mean,Jerk_Max,Velocity_Transition_Smoothness,Microsaccade_Rate,Fractal_Dim,Pupil_Mean,Pupil_Std,Pupil_CV,Pupil_Vel_Max,Saccade_Rate,Main_Seq_Slope,Fixation_Vel_Mean
Josuep,Josuep_9_puntos_intento_10,0.0,32.67321733985301,2052.3699342629443,-0.89020108,7134.573863052662,63945.59542369365,0.9728308615712467,9.2,1.186380942680379,61.85767999999999,7.451975961622528,0.12046969691754572,401.27999999999975,4.0,829.5919716987411,33.25903766892697
Josuep,Josuep_9_puntos_intento_10,1.0,30.50092152748587,851.8096688987617,-0.9152280871080137,6190.974683520504,40409.0531124391,0.9719168537846647,5.853658536585366,1.1717871390306707,63.8617456445993,6.766567703097302,0.1059565101892817,623.1900000000007,3.6,950.0004382290507,35.44585476844774
Josuep,Josuep_9_puntos_intento_10,2.0,24.34426528797916,1788.737633844355,-0.9394000279720279,6914.164226073815,73312.34791593655,0.9838751181870055,6.293706293706294,1.139678647580679,68.94144755244756,5.564730828916903,0.08071676801801277,623.1900000000007,2.8,1332.7851205178652,27.48983592194051
Josuep,Josuep_9_puntos_intento_10,3.0,19.968271135478183,1788.737633844355,-0.9508485033333333,6809.969852635663,73312.34791593655,0.9849330324956461,3.6,1.1555994493627915,71.62401166666668,5.540710357950253,0.0773582801217048,517.1699999999997,1.2,1487.9620380734218,36.79599033117539
Josuep,Josuep_9_puntos_intento_10,4.0,27.111620778536867,3425.9378093821465,-0.9476813076923077,9848.012986439482,108406.58173873012,0.989662243726894,8.42809364548495,1.1169912617904605,74.01147324414717,4.521653719841932,0.06109395640492138,583.4399999999994,1.2,1204.265812643755,43.05523600664244
Josuep,Josuep_9_puntos_intento_10,5.0,29.358315697846155,3425.9378093821465,-0.9177910699999999,9127.352946791452,108406.58173873012,0.9897422949424853,12.8,1.119725403664525,67.28632,7.9403657298808765,0.11800861943231367,583.4399999999994,1.2,1166.70509036836,43.610171211275116
Josuep,Josuep_9_puntos_intento_10,6.0,29.332749567489707,1284.2640265904768,-0.9007936599999997,10087.632543432619,110304.7512356119,0.9888984612599047,12.0,1.137435876795276,64.19506,7.591034163388632,0.1182495064789819,583.4399999999994,2.0,906.1120245031485,25.964766756538694
Josuep,Josuep_9_puntos_intento_10,7.0,23.002455979536542,1284.2640265904768,-0.9235678900000001,7468.511695454937,76377.01336998676,0.9808708868725378,9.6,1.1337623264272054,69.72990166666668,8.93926098275638,0.12819838790952517,363.6300000000003,1.6,896.3659382814076,25.08588993303866
Josuep,Josuep_9_puntos_intento_10,8.0,25.061300288972248,1143.271270035614,-0.9515626962457338,8895.343019407637,58639.446497383826,0.9765085637601616,8.600682593856655,1.1384815366118344,74.71963651877132,4.072469757623145,0.05450334005037678,459.02999999999963,2.8,788.723622051944,26.551010358282657
Josuep,Josuep_9_puntos_intento_10,9.0,26.592165104478788,1143.271270035614,-0.9607570819112627,6514.470653221291,58639.446497383826,0.9767616426262551,12.696245733788395,1.1818766853122498,69.73332423208191,5.047883139504658,0.07238839098943027,459.02999999999963,2.4,894.8960112032893,30.66806055941642
Josuep,Josuep_9_puntos_intento_10,10.0,33.77930598655197,2951.3972146994233,-0.9618963174061431,10055.35361285444,110606.08034866943,0.9878618665360743,14.33447098976109,1.127056064040957,66.52307337883958,3.392958542013701,0.05100423611956828,653.55,1.6,1107.480296595447,23.171752794158987
Josuep,Josuep_9_puntos_intento_10,11.0,33.81109669746631,2951.3972146994233,-0.9341093433333333,8972.637300461996,110606.08034866943,0.9885617487556007,12.8,1.12685865693863,69.54675333333333,4.626247443571902,0.06651996278530188,653.55,2.8,1120.7148256727926,31.012926071463983
Josuep,Josuep_9_puntos_intento_10,12.0,40.10911560055686,2951.3972146994233,-0.9164589233333331,11293.71165728556,110606.08034866943,0.9863611218749246,11.6,1.1221385954179013,74.05844666666667,3.9792614912177973,0.05373136583769104,653.55,2.8,1079.6568033374317,34.23683518542553
Josuep,Josuep_9_puntos_intento_10,13.0,33.328476088383404,1297.1784552298334,-0.9339660466666667,7450.652531609128,62676.88593353658,0.9789197516394844,12.8,1.1944712376462423,76.732415,2.713968664509903,0.035369259060983586,241.73999999999978,2.4,839.9348509690947,30.54745950255697
Josuep,Josuep_9_puntos_intento_10,14.0,29.075060061657066,1297.1784552298334,-0.9637384533333333,8911.166038817304,62676.88593353658,0.9784349933474027,9.2,1.1345158183996467,75.95114166666666,4.247691909821602,0.0559266367379152,434.670000000001,2.4,914.8920053578952,27.41521772306259
Josuep,Josuep_9_puntos_intento_10,15.0,27.721179161563384,1208.992206665342,-0.9781540666666666,7383.93854171292,53061.51121515058,0.9783326886185842,6.4,1.1355450663491768,72.64234666666665,4.720001538822724,0.06497589567805892,471.3300000000004,2.8,788.2709345760609,27.634554231901376
Josuep,Josuep_9_puntos_intento_1,0.0,14.910759232154936,2073.558732470769,-0.8947486633333335,7224.4528828871125,92404.19327048537,0.9862279262192799,0.0,1.1297215941137593,67.525045,5.8410515733163715,0.08650200193596866,211.73999999999978,1.6,1713.0574786501045,21.212789122351115
Josuep,Josuep_9_puntos_intento_1,1.0,15.238546328869315,2073.558732470769,-0.9203391328903655,7953.312861544325,92404.19327048537,0.9862851583035571,0.0,1.094219851376583,73.42232059800664,7.472410415409469,0.10177300791569287,211.73999999999978,2.4,1472.2005879174408,19.679313195678922
Josuep,Josuep_9_puntos_intento_1,2.0,20.810080018137683,1211.5455675817236,-0.9436388049645389,8209.010389748379,70202.75763231741,0.9794598436682528,0.425531914893617,1.1047443023559131,79.92103546099293,1.8215710871917334,0.022792135721024134,215.25000000000034,2.8,948.2429886242036,27.130790568381162
Josuep,Josuep_9_puntos_intento_1,3.0,18.822411051998586,1211.5455675817236,-0.9533856028368795,7569.108255148119,70202.75763231741,0.9800122868325515,0.0,1.1012578983423715,80.54129078014185,1.02520807722975,0.012728975005234507,215.25000000000034,2.8,918.7400789826439,28.398924741185514
Josuep,Josuep_9_puntos_intento_1,4.0,24.62088960070671,4286.711399325583,-0.9423962597864769,11983.877953856141,142859.93279899828,0.9908199890266635,0.0,1.0814270996554385,78.77290391459074,2.2660001981996607,0.028766239221757826,215.25000000000034,2.4,1068.3961756553163,35.90194772491854
Josuep,Josuep_9_puntos_intento_1,5.0,21.725015862819763,4286.711399325583,-0.9092456433333332,10434.396313173977,142859.93279899828,0.9913389304068748,0.0,1.0771202483879383,76.36956166666666,2.4184908583723357,0.03166825637848259,134.96999999999986,1.6,1062.6051867857366,49.70686038444547
Josuep,Josuep_9_puntos_intento_1,6.0,23.22589049501216,1964.8726556335262,-0.8897031366666668,10207.120007383928,90322.58887684063,0.9900154170947568,0.0,1.1289358687617668,74.99436833333333,2.715283380575691,0.03620649711331468,153.39,2.8,1259.0890761381656,22.249042734251336
Josuep,Josuep_9_puntos_intento_1,7.0,19.876202609962515,1964.8726556335262,-0.9179695999999999,8385.853977780047,90322.58887684063,0.9847461643899761,0.0,1.1004136610253374,77.35796491228072,4.220756568976506,0.05456137029667973,401.8799999999996,2.8,1202.7202194099652,24.977788666762223
Josuep,Josuep_9_puntos_intento_1,8.0,23.368768329871372,2112.6898794783924,-0.9549359087719299,10189.289682072107,88967.96795505265,0.9832090975683694,0.0,1.1105084297965344,80.68371228070176,1.2511234304696868,0.015506517921696265,401.8799999999996,2.8,1124.1082458958272,24.470650713034246
