Participant,VideoID,Window_Start,Vel_Mean,Acc_Max,Gaze_Z_Mean,Jerk_Mean,Jerk_Max,Velocity_Transition_Smoothness,Microsaccade_Rate,Fractal_Dim,Pupil_Mean,Pupil_Std,Pupil_CV,Pupil_Vel_Max,Saccade_Rate,Main_Seq_Slope,Fixation_Vel_Mean
Vielma,Vielma_9_puntos_intento_10,0.0,62.75040084566385,2475.8602292110604,-0.7462137743190662,22467.064562577383,105777.335225614,0.9744337775125459,6.070038910505836,1.096487604672317,53.995515564202336,7.024027179256416,0.13008538034801484,447.8100000000002,2.8,866.2490648456666,61.30671564441169
Vielma,Vielma_9_puntos_intento_10,1.0,47.93388477929411,2068.5798216605854,-0.8049598290909091,13245.084852857944,103253.85129715821,0.9753765448248088,8.290909090909091,1.1253240307310315,59.952967272727285,5.6957259735877095,0.09500323724892105,410.3100000000002,2.8,882.5849626120327,48.09783606137693
Vielma,Vielma_9_puntos_intento_10,2.0,41.15316164978889,2949.2227138081917,-0.8252598576642336,12003.009546509993,132902.07751649254,0.9844234146571218,9.635036496350365,1.1274610836754935,57.85316788321168,6.731337246017722,0.1163520943158426,370.98,3.2,959.5074661427318,40.78397060520343
Vielma,Vielma_9_puntos_intento_10,3.0,44.732036753006106,3969.4169679368824,-0.81889232,17013.918235743196,150154.9854582152,0.9857355274158345,11.6,1.097278494327241,54.81467833333333,4.92852381659024,0.08991248268610486,475.2899999999997,4.0,968.0743381209495,46.19152335828771
Vielma,Vielma_9_puntos_intento_10,4.0,38.37982272597631,3969.4169679368824,-0.8132505451505018,15560.121744645492,150154.9854582152,0.9870092372058715,6.020066889632107,1.0945950943906193,56.620608695652166,5.723442276202441,0.10108408242248264,475.2899999999997,4.4,935.0633866103632,38.5016274203426
Vielma,Vielma_9_puntos_intento_10,5.0,34.09883191977238,1605.021662290267,-0.8223066533333333,11250.87517903458,81506.96035234214,0.9787413429452448,8.0,1.1237365535032442,63.53225,3.853102833972468,0.06064798325216671,122.91000000000025,3.6,954.2652502694991,32.623485653202096
Vielma,Vielma_9_puntos_intento_10,6.0,36.707376698762666,2576.807244314648,-0.8444509266666667,14648.511768684959,118746.12529480997,0.9807860268548154,4.4,1.1241509145572435,66.74989666666667,2.6861451935792466,0.04024193785637191,171.72000000000054,4.4,1067.9127318481426,33.05904872145661
Vielma,Vielma_9_puntos_intento_10,7.0,36.60588963190974,2576.807244314648,-0.8675527799999998,12668.609436257804,118746.12529480997,0.981902461718033,6.4,1.127606720456709,68.23924833333334,1.23384063766918,0.01808109948166701,171.72000000000054,3.6,1023.2069030113469,33.24525646507364
Vielma,Vielma_9_puntos_intento_10,8.0,29.984635511254485,611.2778087998788,-0.8735305661764705,6713.4487587786625,47287.934299346765,0.9818372383680953,10.588235294117647,1.215622871846001,69.14806985294116,2.364009751548137,0.034187646257888796,492.84000000000077,2.4,278.4948954248756,27.30910369151406
Vielma,Vielma_9_puntos_intento_10,9.0,43.129648351066876,4861.409953317675,-0.8625704291187739,17424.59118933623,173418.352137994,0.988279071810581,7.816091954022989,1.1889144559460165,68.3890287356322,4.216534451625091,0.06165512991747145,492.84000000000077,2.4,871.6473438237333,42.76175863138553
Vielma,Vielma_9_puntos_intento_10,10.0,51.516258734065225,4861.409953317675,-0.8582627318007663,25292.619399804098,171816.3769159643,0.9856660769973343,0.4597701149425288,1.0858151498399238,67.77922988505748,4.321204479989443,0.06375411003219572,492.84000000000077,4.0,1022.6292124153899,49.268888764693216
Vielma,Vielma_9_puntos_intento_10,11.0,49.64546074919491,4861.409953317675,-0.8707799399999999,25507.74577545841,171816.3769159643,0.9851513201483899,0.4,1.123214783283208,67.29562166666666,3.92283809964553,0.05829261997275846,265.9800000000004,4.4,1138.7927595338615,44.17521793937259
Vielma,Vielma_9_puntos_intento_10,12.0,44.167345257916374,2880.247743343061,-0.8908660833333333,21298.762484829847,126233.30089914204,0.9782606198704232,0.0,1.1110973254390861,69.77740333333334,3.2223601814491327,0.046180568887833354,265.9800000000004,4.0,1242.4933236575555,39.54906120153523
Vielma,Vielma_9_puntos_intento_10,13.0,38.13538022752263,2880.247743343061,-0.9184822733333334,17260.82318772373,126233.30089914204,0.980081523141697,3.6,1.1083164623043649,72.39416833333333,2.6392379653030953,0.03645649955050149,265.9800000000004,2.4,1176.5478501905914,45.47646271307601
Vielma,Vielma_9_puntos_intento_10,14.0,35.38452776295082,3415.1911986644072,-0.9168026666666667,13543.9945295328,137609.1582099712,0.9849593856638219,10.0,1.137494799480874,73.24476666666666,1.0153581357771693,0.013862534922092308,114.1500000000002,2.0,1062.6358210141939,30.411351321957905
Vielma,Vielma_9_puntos_intento_10,15.0,46.979831950122,3415.1911986644072,-0.9101749600000001,21474.83823983601,161854.58950742325,0.9811709667346507,10.0,1.0904499658944982,73.72682833333333,1.8747541998078636,0.025428385327139466,272.8800000000001,3.6,1115.6887684486487,49.10767229978294
Vielma,Vielma_9_puntos_intento_1,0.0,44.65683890425577,2226.079627858223,-0.8285420833333335,12973.510965151567,97463.46512869064,0.9789464796147983,10.0,1.177708691219715,61.566716666666665,2.265681294457708,0.03680042427346769,326.25,2.8,844.6730153599814,38.763247053698045
Vielma,Vielma_9_puntos_intento_1,1.0,42.56580518187351,2226.079627858223,-0.8351241627906976,10408.758580303129,88858.07329621149,0.9791704762733155,10.764119601328904,1.1650050149847084,61.131423588039866,2.5477431725413338,0.041676490142130276,326.25,2.8,1442.1178990360454,39.50501537119494
Vielma,Vielma_9_puntos_intento_1,2.0,60.44303571339214,4550.537582543315,-0.8308938333333333,16321.542991441494,149253.04452489593,0.9840136284365089,8.4,1.132899031054857,60.88408333333333,2.7816400845045033,0.0456874758099805,556.8599999999994,3.6,927.003518711229,65.83739620839417
