Participant,VideoID,Window_Start,Vel_Mean,Acc_Max,Gaze_Z_Mean,Jerk_Mean,Jerk_Max,Velocity_Transition_Smoothness,Microsaccade_Rate,Fractal_Dim,Pupil_Mean,Pupil_Std,Pupil_CV,Pupil_Vel_Max,Saccade_Rate,Main_Seq_Slope,Fixation_Vel_Mean
Leo,Leo_9_puntos_intento_10,0.0,21.653186198515474,10836.03040293943,-0.8811222266666666,14162.149505305266,290124.5265348268,0.9858377268836733,0.0,1.1661696936805162,75.19924166666667,3.7591338679848256,0.04998898638696147,284.40000000000055,2.0,1259.7776221456047,23.91892066653927
Leo,Leo_9_puntos_intento_10,1.0,22.263001019228213,2307.383377548123,-0.8914024817275746,7500.48796160637,102312.72677877638,0.9858848171674481,2.39202657807309,1.135098486599449,76.76551661129568,3.088888350832725,0.04023796734767508,284.40000000000055,1.6,1207.8471015020407,37.5108534962586
Leo,Leo_9_puntos_intento_10,2.0,29.396591202800142,2504.0185584996334,-0.8967044400000002,8052.546666610629,111663.85841304006,0.9862152596615422,11.6,1.1425601365609448,79.56586333333334,1.5012887512585829,0.018868503254581448,172.86,2.0,1193.0069029172005,39.00331027175065
Leo,Leo_9_puntos_intento_10,3.0,32.11541133977982,2504.0185584996334,-0.8883789700000002,8813.052196646806,111663.85841304006,0.985698316317343,11.6,1.1413363799740583,80.60679499999998,1.3770341458396493,0.017083350675828876,172.86,2.0,1191.9015507523532,40.853712505848776
Leo,Leo_9_puntos_intento_10,4.0,27.339342186039715,714.1370305280782,-0.8884992842105263,6205.855479953486,36745.97831976786,0.971512241236726,3.789473684210526,1.1760510743925836,81.54900175438596,0.9999961048154359,0.012262518035809715,199.6199999999999,2.4,97.18009267565765,31.267472258518673
Leo,Leo_9_puntos_intento_10,5.0,23.054295255987576,714.1370305280782,-0.8995327657342655,5700.881493206274,36745.97831976786,0.9725902870751155,5.454545454545455,1.1758967731038312,81.39501048951048,1.002496704855739,0.012316439285734013,199.6199999999999,2.8,103.20106211007266,26.213153909712776
Leo,Leo_9_puntos_intento_10,6.0,22.607122082467757,2280.989927717082,-0.9132968013937282,9492.911689804556,108826.92123106001,0.9829902864679939,0.0,1.126572465840497,81.54185017421604,1.5218045862746608,0.01866286554724096,305.07000000000033,2.8,925.6417057856404,26.026917080675997
Leo,Leo_9_puntos_intento_10,7.0,22.474253461560906,2280.989927717082,-0.9272344668989546,8525.302215011323,108826.92123106001,0.984279581789517,4.599303135888502,1.1361183079685222,80.24964982578398,2.4144928605650264,0.030087269736462537,305.07000000000033,2.0,998.8469050532937,30.583952990772563
Leo,Leo_9_puntos_intento_10,8.0,29.717025554686057,2633.630719181527,-0.9395995958188155,11845.452917892495,117740.70221903714,0.9830752550878917,2.5087108013937285,1.1150412820544842,79.80722822299651,2.781472940202372,0.03485239372592179,339.5100000000002,1.6,904.8309920345276,38.454933970259695
Leo,Leo_9_puntos_intento_10,9.0,29.87435909180429,2633.630719181527,-0.9337134233333334,9195.27813620021,117740.70221903714,0.9852564268223886,2.0,1.1345450488014786,80.90139833333333,2.82686463279795,0.03494209854260595,339.5100000000002,2.4,875.4225842072094,40.29139975420663
Leo,Leo_9_puntos_intento_10,10.0,45.84337184753389,4504.4900017893415,-0.9304582833333332,16189.059311874267,157911.39172649552,0.9882702730250493,10.8,1.105691992934576,82.98425333333334,1.7264431627353254,0.020804467033046652,339.5100000000002,3.6,1034.5037002419174,49.296048825822815
Leo,Leo_9_puntos_intento_10,11.0,37.49296594925346,4504.4900017893415,-0.9349345933333333,14449.395616943117,157911.39172649552,0.9892600975446055,1.6,1.0943639922081239,80.17229333333334,4.055061514406683,0.05057933789603477,152.58000000000038,4.0,1040.9416248106381,41.98373559374672
Leo,Leo_9_puntos_intento_10,12.0,35.62569180024628,4504.4900017893415,-0.9471051066666667,18492.218989926485,157911.39172649552,0.9886715697440472,0.0,1.073870563374094,78.200215,3.130778497106057,0.04003542058172164,152.9699999999997,3.2,1064.1947747739555,44.19792605698188
Leo,Leo_9_puntos_intento_10,13.0,31.554848271594505,2404.6768196189664,-0.9612150833333334,12780.174749442784,99556.55663244518,0.9825830648186502,0.0,1.1099507085772975,81.06863999999999,4.3191065147088,0.05327715519476829,152.9699999999997,2.8,891.3139451693764,38.375276561307075
Leo,Leo_9_puntos_intento_10,14.0,30.86712479493149,2775.7754345099643,-0.9710284366666667,10897.262840974508,121905.71677703115,0.9844697765348308,9.6,1.139382630554903,85.95258333333334,3.5309223737887847,0.04107988657066291,310.4699999999997,2.4,987.8303672782963,31.899493265796103
Leo,Leo_9_puntos_intento_10,15.0,43.155499666714896,2775.7754345099643,-0.9676355699999999,10762.428623693748,121905.71677703115,0.9833502886345691,9.2,1.149082019408977,87.54892666666666,2.463793902288817,0.028141908714306153,310.4699999999997,2.8,826.844203678199,39.56003242493786
Leo,Leo_9_puntos_intento_1,0.0,26.946262034308816,2249.910986763951,-0.8870765308219177,8306.415666847013,106341.26665242494,0.9842160879087172,0.0,1.1010367382368946,81.50457876712329,4.708048288001293,0.05776421839383078,385.77000000000027,2.8,1033.0185859386156,25.256518706457406
Leo,Leo_9_puntos_intento_1,1.0,21.578594189403304,2249.910986763951,-0.9027006744186046,8127.083048077492,106341.26665242494,0.9850575925467998,0.0,1.0917275759541716,82.34068936877077,1.4717373998462657,0.01787375611169524,199.92000000000047,2.0,1045.1783622656274,28.54914995196225
Leo,Leo_9_puntos_intento_1,2.0,30.68638263699258,3121.8705406863064,-0.91382355,11472.935711570908,132377.9296701935,0.9855269695111951,5.2,1.109208626670556,82.72442666666667,1.949572227341737,0.023567068469358226,389.1300000000001,1.6,957.8557297445648,50.414015879060706
Leo,Leo_9_puntos_intento_1,3.0,30.078363680225667,3121.8705406863064,-0.9091281433333332,9485.763820478342,132377.9296701935,0.986740694755755,9.6,1.1193692253910605,82.93109833333334,1.7094352355375213,0.020612716699670557,389.1300000000001,1.6,941.3454607032477,52.57772173492928
Leo,Leo_9_puntos_intento_1,4.0,36.13878141283095,4218.371526884079,-0.9084095618729098,12161.461784472544,151509.81582207748,0.9889476378026059,2.0066889632107023,1.0908097388041846,84.02406856187291,1.3961041144830593,0.016615526222168216,224.49000000000012,2.0,1175.3497933214676,54.476874201569125
Leo,Leo_9_puntos_intento_1,5.0,33.097201078042396,4218.371526884079,-0.9179684766666666,14867.098178098078,151509.81582207748,0.9881429466063094,0.0,1.0820336749413035,84.23122333333333,1.673139407457994,0.019863648433987215,224.49000000000012,2.0,1108.0683823721495,59.77249448000691
Leo,Leo_9_puntos_intento_1,6.0,35.515445028309706,2617.163677329181,-0.9334094900000001,18733.66629989076,130090.0512435129,0.9869769372328283,0.0,1.091646421228532,85.15334166666668,2.5114411332467834,0.029493160034492087,228.86999999999972,2.8,874.549403079414,43.693922809062464
Leo,Leo_9_puntos_intento_1,7.0,42.764548681003426,2617.163677329181,-0.94961125,18868.861496088648,118194.87626506187,0.9802327751334264,3.2,1.0818148699808423,87.11126666666665,2.213168150839174,0.025406221669441623,957.0599999999996,3.2,822.4452265139297,52.27158749185424
Leo,Leo_9_puntos_intento_1,8.0,40.58240784180216,2555.562387434504,-0.9544791833333333,15000.885151872142,132632.35608096636,0.981227524094271,10.0,1.1212878037864844,89.96486,3.119367237448433,0.034673173919777485,957.0599999999996,2.8,898.1265058713514,44.51736933662345
Leo,Leo_9_puntos_intento_1,9.0,36.31104513420763,2555.562387434504,-0.9510454833333334,11391.278205359236,132632.35608096636,0.9828482960004356,12.4,1.1293574318726245,91.89871500000001,3.043681299776363,0.03311995493926507,957.0599999999996,2.4,901.7935967248286,45.930041271267314
Leo,Leo_9_puntos_intento_1,10.0,41.85838653809824,4953.524498832263,-0.9469018233333333,15457.057018340718,165734.8987045915,0.9889182684520053,13.2,1.1238759703506507,93.49653,2.1471205642518854,0.022964708575300977,436.0499999999999,1.6,1078.6552496391027,43.03777329859347
Leo,Leo_9_puntos_intento_1,11.0,33.387625650447795,4953.524498832263,-0.9460769566666668,14999.67442458891,165734.8987045915,0.9901900047307056,6.4,1.0900182807074494,90.16294333333335,3.963874733152174,0.04396345756479675,265.79999999999956,0.8,1295.9392663019903,26.798270665909335
Leo,Leo_9_puntos_intento_1,12.0,34.37527421645147,4953.524498832263,-0.9587666666666667,14548.419252027292,165734.8987045915,0.9904122067672337,7.2,1.0969322416482898,88.47359166666666,2.739001392070455,0.030958406237082854,265.79999999999956,1.2,1093.263321163177,24.447968652866578
Leo,Leo_9_puntos_intento_1,13.0,27.668077260118135,1901.4982564942777,-0.97488108,7128.1760438000565,79184.27973931842,0.9842120485047992,11.2,1.1671593645171523,89.73476666666667,2.551322723390534,0.02843181988612961,131.96999999999917,1.6,1055.9845066094324,27.286480586654918
Leo,Leo_9_puntos_intento_1,14.0,40.17696906269965,2698.595987194654,-0.9803953766666667,11274.69698414479,123447.94969879965,0.9838222631849856,10.8,1.1217369074902377,92.92532666666666,3.3056960119298457,0.03557368190684699,786.5100000000004,3.6,1311.2356870276656,37.0996336205665
Leo,Leo_9_puntos_intento_1,15.0,38.01884283887246,2698.595987194654,-0.9765397199999999,11841.975308273482,123447.94969879965,0.9837535250881415,10.4,1.0968220543954548,94.9461,3.478713851890283,0.0366388282603528,786.5100000000004,3.6,1368.2164185653035,36.44797741608384
Leo,Leo_9_puntos_intento_2,0.0,24.471117022454365,2482.2844013817376,-0.8803326533333332,8568.956931966344,112839.74313315294,0.9855110287870551,3.6,1.136924061086759,66.29331666666667,6.039137662756349,0.09109723221606324,217.9200000000003,2.0,1148.3609996137016,29.058052502246525
